period,startdate,enddate
100,2022-02-28T00:00:00.000,2022-03-06T23:59:59.000
101,2022-03-07T00:00:00.000,2022-03-13T23:59:59.000
102,2022-03-14T00:00:00.000,2022-03-20T23:59:59.000
103,2022-03-21T00:00:00.000,2022-03-27T23:59:59.000
104,2022-03-28T00:00:00.000,2022-04-03T23:59:59.000
105,2022-04-04T00:00:00.000,2022-04-10T23:59:59.000
106,2022-04-11T00:00:00.000,2022-04-17T23:59:59.000
107,2022-04-18T00:00:00.000,2022-04-24T23:59:59.000
108,2022-04-25T00:00:00.000,2022-05-01T23:59:59.000
109,2022-05-02T00:00:00.000,2022-05-08T23:59:59.000
110,2022-05-09T00:00:00.000,2022-05-15T23:59:59.000
111,2022-05-16T00:00:00.000,2022-05-22T23:59:59.000
112,2022-05-23T00:00:00.000,2022-05-29T23:59:59.000
113,2022-05-30T00:00:00.000,2022-06-05T23:59:59.000
114,2022-06-06T00:00:00.000,2022-06-12T23:59:59.000
115,2022-06-13T00:00:00.000,2022-06-19T23:59:59.000
116,2022-06-20T00:00:00.000,2022-06-26T23:59:59.000
117,2022-06-27T00:00:00.000,2022-07-03T23:59:59.000
118,2022-07-04T00:00:00.000,2022-07-10T23:59:59.000
119,2022-07-11T00:00:00.000,2022-07-17T23:59:59.000
120,2022-07-18T00:00:00.000,2022-07-24T23:59:59.000
121,2022-07-25T00:00:00.000,2022-07-31T23:59:59.000
122,2022-08-01T00:00:00.000,2022-08-07T23:59:59.000
123,2022-08-08T00:00:00.000,2022-08-14T23:59:59.000
124,2022-08-15T00:00:00.000,2022-08-21T23:59:59.000
125,2022-08-22T00:00:00.000,2022-08-28T23:59:59.000
126,2022-08-29T00:00:00.000,2022-09-04T23:59:59.000
127,2022-09-05T00:00:00.000,2022-09-11T23:59:59.000
128,2022-09-12T00:00:00.000,2022-09-18T23:59:59.000
129,2022-09-19T00:00:00.000,2022-09-25T23:59:59.000
130,2022-09-26T00:00:00.000,2022-10-02T23:59:59.000
131,2022-10-03T00:00:00.000,2022-10-09T23:59:59.000
